algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,SVYE,010100110101011001011001010001010100100001001000,010100110101011001011001010001010100100001001000,0,-1,correcta,1,0.45,0.179
fletcher,XOM,0101100001001111010011011111010011110100,0101100001001111010011011111010011110100,0,-1,correcta,1,2.12,0.159
fletcher,JVEIU,01001010010101100100010101001001010101011000010010000100,01001010010101100100010101001001010101011000010010000100,0,-1,correcta,1,1.03,0.098
fletcher,YMM,0101100101001101010011011111001111110011,0101100101001101010011011111001111110011,0,-1,correcta,1,0.49,0.072
fletcher,XRVUDBQD,01011000010100100101011001010101010001000100001001010001010001000111001001110010,01011000010100100101011001010101010001000100001001010001010001000111001001110010,0,-1,correcta,1,0.67,0.145
fletcher,RXUVVC,0101001001011000010101010101011001010110010000111110111111101111,0101001001011000010101010101011001010110010000111110111111101111,0,-1,correcta,1,0.43,0.14
fletcher,SYJ,0101001101011001010010101111011011110110,0101001101011001010010101111011011110110,0,-1,correcta,1,1.12,0.116
fletcher,UUM,0101010101010101010011011111011111110111,0101010101010101010011011111011111110111,0,-1,correcta,1,1.2,0.095
fletcher,WFJCGBCNLC,010101110100011001001010010000110100011101000010010000110100111001001100010000111101010111010101,010101110100011001001010010000110100011101000010010000110100111001001100010000111101010111010101,0,-1,correcta,1,0.95,0.061
fletcher,DPYZOEWDWZ,010001000101000001011001010110100100111101000101010101110100010001010111010110100010101000101010,010001000101000001011001010110100100111101000101010101110100010001010111010110100010101000101010,0,-1,correcta,1,0.58,0.136
fletcher,ZLXG,010110100100110001011000010001110100011001000110,010110100100110001011000010001110100011001000110,0,-1,correcta,1,0.37,0.084
fletcher,XVJW,010110000101011001001010010101110101000001010000,010110000101011001001010010101110101000001010000,0,-1,correcta,1,0.28,0.015
fletcher,YQQE,010110010101000101010001010001010100000101000001,010110010101000101010001010001010100000101000001,0,-1,correcta,1,0.51,0.045
fletcher,XWZODYR,010110000101011101011010010011110100010001011001010100100100100101001001,010110000101011101011010010011110100010001011001010100100100100101001001,0,-1,correcta,1,0.7,0.103
fletcher,TJOCXVABJ,0101010001001010010011110100001101011000010101100100000101000010010010101010110110101101,0101010001001010010011110100001101011000010101100100000101000010010010101010110110101101,0,-1,correcta,1,0.42,0.157
fletcher,OITDYNYZKI,010011110100100101010100010001000101100101001110010110010101101001001011010010010010000100100001,010011110100100101010100010001000101100101001110010110010101101001001011010010010010000100100001,0,-1,correcta,1,1.36,0.149
fletcher,UUP,0101010101010101010100001111101011111010,0101010101010101010100001111101011111010,0,-1,correcta,1,1.14,0.087
fletcher,HGASTBE,010010000100011101000001010100110101010001000010010001010000000000000000,010010000100011101000001010100110101010001000010010001010000000000000000,0,-1,correcta,1,0.57,0.099
fletcher,YKWEOLDOUN,010110010100101101010111010001010100111101001100010001000100111101010101010011100001010000010100,010110010100101101010111010001010100111101001100010001000100111101010101010011100001010000010100,0,-1,correcta,1,0.46,0.065
fletcher,ZKU,0101101001001011010101011111101011111010,0101101001001011010101011111101011111010,0,-1,correcta,1,1.31,0.027
fletcher,FPOWY,01000110010100000100111101010111010110011001011010010110,01000110010100000100111101010111010110011001011010010110,0,-1,correcta,1,0.76,0.12
fletcher,QGSTRHZERM,010100010100011101010011010101000101001001001000010110100100010101010010010011010001101000011010,010100010100011101010011010101000101001001001000010110100100010101010010010011010001101000011010,0,-1,correcta,1,1.29,0.06
fletcher,TBPGN,01010100010000100101000001000111010011100111110001111100,01010100010000100101000001000111010011100111110001111100,0,-1,correcta,1,0.59,0.018
