algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,TPLUTNS,010101000101000001001100010101010101010001001110010100110000000001000111111101000011000111011110,010101000101000001001100010101010101010001001110010100110000000001000111111101000011000111011110,0,-1,error_detectado,0,0.86,0.097
fletcher,QVT,0101000101010110010101000000000010100101010101101111011010101100,0101000101010110010101000000000010100101010101101111011010101100,0,-1,error_detectado,0,0.55,0.092
fletcher,EDTHHB,01000101010001000101010001001000010010000100001011100001110011101100000010011111,01000101010001000101010001001000110010000100001011100001110011101100000010011111,1,32,error_detectado,0,0.48,0.173
fletcher,FSWJOH,01000110010100110101011101001010010011110100100011101100111001011101000011010110,01000110010100110101011101001010010011110100100011101100111001011101000011010110,0,-1,error_detectado,0,0.86,0.066
fletcher,IOLQ,0100100101001111010011000101000110010101101000001101111011101111,0100100101001111010011000101000110010101101000001101111011101111,0,-1,error_detectado,0,0.6,0.119
fletcher,JSDPCJQ,010010100101001101000100010100000100001101001010010100010000000000100010111011101100110111010010,010010100101001101000100010100000100001101001010010100010000000000100010111011101100110111010010,0,-1,error_detectado,0,0.47,0.015
fletcher,VIGSLDO,010101100100100101000111010100110100110001000100010011110000000000111000111000010001011010101000,010101100100100101000111010100110100110001000100010011110000000000111000111000010001011010101000,0,-1,error_detectado,0,0.45,0.14
fletcher,GYV,0100011101011001010101100000000010011101010110011110010010110010,0100011101011001011101100000000010011101010110011110010010110010,1,18,error_detectado,0,0.77,0.196
fletcher,USCJBHB,010101010101001101000011010010100100001001001000010000100000000000011100111001101110010110111100,010101010101001101000011010010100100001001001000010000100000000000011100111001101110010110111100,0,-1,error_detectado,0,0.51,0.051
fletcher,VNEPLM,01010110010011100100010101010000010011000100110111100111111010111101100111011000,01010110010011100100010101010000010011000100110111100111111010111101110111011000,1,69,error_detectado,0,0.5,0.115
fletcher,XTKJISKG,010110000101010001001011010010100100100101010011010010110100011100111000001110010010000100011110,010110000101010001001011010010100100100101010011010010110100011100111000001110010010000100011110,0,-1,error_detectado,0,0.59,0.122
fletcher,WFO,0101011101000110010011110000000010100110010001101111110110001100,0101011101000110010011110000000010100110010001101111110110001100,0,-1,error_detectado,0,0.48,0.011
fletcher,CSVINQO,010000110101001101010110010010010100111001010001010011110000000000110110111011101111101111001011,010000110101001101010110010010010100111001010001010011110000000000110110111011101111101111001011,0,-1,error_detectado,0,0.49,0.033
fletcher,CJHTM,01000011010010100100100001010100010011010000000011011000100111101010011110000111,01000011010010100100100001010100010011010000000011011000100111101010011110000111,0,-1,error_detectado,0,0.46,0.006
fletcher,AIBBAV,01000001010010010100001001000010010000010101011011000100111000011000100110110110,01000001010010010100001001000010010000010101011011000100111000011000100110110110,0,-1,error_detectado,0,0.61,0.062
fletcher,GMZL,0100011101001101010110100100110010100001100110011110100011100110,0100011101001101010110100100110010100001100110011110100011100110,0,-1,error_detectado,0,0.46,0.019
fletcher,DWKDBIUG,010001000101011101001011010001000100001001001001010101010100011100100111001011001100110100000011,010001000101011101001011010001000100001001001001010101010100011100100111001011001100110100000011,0,-1,error_detectado,0,0.47,0.177
fletcher,YOWUK,01011001010011110101011101010101010010110000000011111011101001000000010110011001,01011001010011110101011101010101010010110000000011111011101001000000010110011001,0,-1,error_detectado,0,0.4,0.127
fletcher,AUCYK,01000001010101010100001101011001010010110000000011001111101011101001010110110010,01000001010101010100001101011001010010110000000011001111101011101001010110110010,0,-1,error_detectado,0,0.67,0.154
fletcher,MUF,0100110101010101010001100000000010010011010101011110000010101010,0100110101010101010001100000000010010011010101011110000010101010,0,-1,error_detectado,0,0.71,0.17
fletcher,VSHQEIO,010101100101001101001000010100010100010101001001010011110000000000110010111011100000101111010100,010101100101001101001000010100010100010101001001010011110000000000110010111011100000101111010100,0,-1,error_detectado,0,0.46,0.193
fletcher,UCMJ,0101010101000011010011010100101010100010100011011111011111010000,0101010101000011010011010100101010100010100011011111011111010000,0,-1,error_detectado,0,0.47,0.199
fletcher,ODORTJMLB,0100111101000100010011110101001001010100010010100100110101001100010000100000000010000010001011011010001100010110,0100111101000100010011110101001001010100010010100100110101001100010000100000000010000010001011011010001100010110,0,-1,error_detectado,0,0.58,0.155
fletcher,AQLAMNY,010000010101000101001100010000010100110101001110010110010000000000110011111000011101110110100101,010000010101000101001100010000010100110101001110010110010000010000110011111000011101110110100101,1,61,error_detectado,0,0.41,0.043
fletcher,WWF,0101011101010111010001100000000010011101010101111111010010101110,0101011101010111010001100000000010011101010101111111010010101110,0,-1,error_detectado,0,0.52,0.146
fletcher,XRGBNJZXZP,0101100001010010010001110100001001001110010010100101101001011000010110100101000010100010100001111101000010000100,0101100001010010010001110100001001001110010010100101101001011000010110100101000010100010100001111101000010000100,0,-1,error_detectado,0,0.49,0.13
fletcher,NJPJCRR,010011100100101001010000010010100100001101010010010100100000000000110011111001110000001010101101,010011100100101001010000010010100100001101010010010100100000000000110011111001110000001000101101,1,88,error_detectado,0,0.4,0.119
fletcher,GXBTRXSMD,0100011101011000010000100101010001010010010110000101001101001101010001000000000001110011010100100100111110101110,0100011101011000010000100101010001010010010110000101001101001101010001000000000001110011010100100100111110101110,0,-1,error_detectado,0,0.5,0.137
fletcher,MRKG,0100110101010010010010110100011110011000100110011110010111101011,0100110101010010010010110100011110011000100110011110010111101011,0,-1,error_detectado,0,0.59,0.098
fletcher,HXVA,0100100001011000010101100100000110011110100110011110011011110001,0100100001011000010101100100000110011110100110011110011011110001,0,-1,error_detectado,0,0.42,0.139
fletcher,MQWD,0100110101010001010101110100010010100100100101011111000111100110,0100110101010001010101110100010010100100100101011111000111100110,0,-1,error_detectado,0,1.41,0.055
fletcher,LUK,0100110001010101010010110000000010010111010101011110001110101010,0100110001010101010010110000000010010111010101011110001110101010,0,-1,error_detectado,0,0.65,0.106
fletcher,KXX,0100101101011000010110000000000010100011010110001110111010110000,0100101101011000010110000000000010100011010110001110111010110000,0,-1,error_detectado,0,1.49,0.128
fletcher,HSRTYRBA,010010000101001101010010010101000101100101010010010000100100000100110110001110110000110100110000,010010000101001101010010010101000101100101010010010000100100000100110110001110110000110100110000,0,-1,error_detectado,0,0.59,0.051
fletcher,NRIJIX,01001110010100100100100101001010010010010101100011100000111101001100011011100011,01001110010100100100100101001010010010010101100011100000111101001100011011100011,0,-1,error_detectado,0,0.83,0.017
fletcher,DRZ,0100010001010010010110100000000010011110010100101110001010100100,0100010001010010010110100000000010011110010100101110001010100100,0,-1,error_detectado,0,0.48,0.103
fletcher,JRDAQNMX,010010100101001001000100010000010101000101001110010011010101100000101101001110101110011000000001,010010100101001001000100110000010101000101001110010011010101100000101101001110101110011000000001,1,24,error_detectado,0,0.39,0.109
