algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
fletcher,DYOWEPEKT,0100010001011001010011110101011101000101010100000100010101001011010101001011111010111110,0100010001011001010011110101011101000101010100000100010101001011010101001011111010111110,0,-1,correcta,1,5.16,0.12
fletcher,GNDSQADHAX,010001110100111001000100010100110101000101000001010001000100100001000001010110001110010111100101,010001110100111001000100010100110101000101000001010001000100100001000001010110001110010111100101,0,-1,correcta,1,0.94,0.065
fletcher,MENYXDUCO,0100110101000101010011100101100101011000010001000101010101000011010011111011111010111110,0100110101000101010011100101100101011000010001000101010101000011010011111011111010111110,0,-1,correcta,1,9.32,0.118
fletcher,VAODM,01010110010000010100111101000100010011010111100001111000,01010110010000010100111101000100010011010111100001111000,0,-1,correcta,1,14.57,0.074
fletcher,WRUW,010101110101001001010101010101110101011001010110,010101110101001001010101010101110101011001010110,0,-1,correcta,1,5.67,0.063
fletcher,SYF,0101001101011001010001101111001011110010,0101001101011001010001101111001011110010,0,-1,correcta,1,0.34,0.054
fletcher,XOW,0101100001001111010101111111111011111110,0101100001001111010101111111111011111110,0,-1,correcta,1,23.32,0.187
fletcher,NKMJB,01001110010010110100110101001010010000100111001101110011,01001110010010110100110101001010010000100111001101110011,0,-1,correcta,1,17.07,0.069
fletcher,PVEVLJLWUC,010100000101011001000101010101100100110001001010010011000101011101010101010000110001010100010101,010100000101011001000101010101100100110001001010010011000101011101010101010000110001010100010101,0,-1,correcta,1,3.09,0.141
fletcher,VHDEB,01010110010010000100010001000101010000100110101001101010,01010110010010000100010001000101010000100110101001101010,0,-1,correcta,1,11.06,0.014
fletcher,LMMSWFNCH,0100110001001101010011010101001101010111010001100100111001000011010010001011000110110001,0100110001001101010011010101001101010111010001100100111001000011010010001011000110110001,0,-1,correcta,1,3.84,0.054
fletcher,GJXSV,01000111010010100101100001010011010101101001001110010011,01000111010010100101100001010011010101101001001110010011,0,-1,correcta,1,1.11,0.108
fletcher,PKKFL,01010000010010110100101101000110010011000111100101111001,01010000010010110100101101000110010011000111100101111001,0,-1,correcta,1,1.85,0.024
fletcher,WQWS,010101110101000101010111010100110101001101010011,010101110101000101010111010100110101001101010011,0,-1,correcta,1,1.8,0.013
fletcher,VSU,0101011001010011010101011111111011111110,0101011001010011010101011111111011111110,0,-1,correcta,1,0.89,0.056
fletcher,BTSSH,01000010010101000101001101010011010010001000010110000101,01000010010101000101001101010011010010001000010110000101,0,-1,correcta,1,1.13,0.11
fletcher,PELVP,01010000010001010100110001010110010100001000100010001000,01010000010001010100110001010110010100001000100010001000,0,-1,correcta,1,10.29,0.042
fletcher,PJHOF,01010000010010100100100001001111010001100111100001111000,01010000010010100100100001001111010001100111100001111000,0,-1,correcta,1,15.42,0.026
fletcher,HLVQYBMDP,0100100001001100010101100101000101011001010000100100110101000100010100001011100110111001,0100100001001100010101100101000101011001010000100100110101000100010100001011100110111001,0,-1,correcta,1,1.49,0.173
fletcher,ZKV,0101101001001011010101101111101111111011,0101101001001011010101101111101111111011,0,-1,correcta,1,5.07,0.175
fletcher,XOM,0101100001001111010011011111010011110100,0101100001001111010011011111010011110100,0,-1,correcta,1,2.72,0.121
