algoritmo,mensaje,trama_binaria,trama_ruido,error_inyectado,bit_error,respuesta_receptor,validez,tiempo_ms,probabilidad_error
hamming,PTLN,01001010000000010010110011001001100011110010011000010110,01001010000000010010110011001001100011110010011000010110,0,-1,correcta,1,3.05,0.121
hamming,LCJL,10011000111100100110010000111001100101101010011000111100,10011000111100100110010000111001100101101010011000111100,0,-1,correcta,1,0.59,0.151
hamming,CLRANJBGPE,10011001000011100110001111000100101010101010011001101001100110000101101001100101101010011000101010100110000011110100101000000010011000100101,10011001000011100110001111000100101010101010011001101001100110000101101001100101101010011000101010100110000011110100101000000010011000100101,0,-1,correcta,1,0.46,0.087
hamming,VBCZU,0100101110011010011000101010100110010000110100101101101001001010100101,0100101110011010011000101010100110010000110100101101101001001010100101,0,-1,correcta,1,0.43,0.082
hamming,YYFXW,0100101001100101001010011001100110011001100100101111000001001010001111,0100101001100101001010011001100110011001100100101111000001001010001111,0,-1,correcta,1,0.42,0.105
hamming,AUE,100110011010010100101010010110011000100101,100110011010010100101010010110011000100101,0,-1,correcta,1,0.37,0.193
hamming,WEDZJWR,01001010001111100110001001011001100100110001001011011010100110010110100100101000111101001010101010,01001010001111100110001001011001100100110001001011011010100110010110100100101000111101001010101010,0,-1,correcta,1,0.35,0.023
hamming,NWHQVVVR,1001100001011001001010001111100110011100000100101110100101001011100110010010111001100100101110011001001010101010,1001100001011001001010001111100110011100000100101110100101001011100110010010111001100100101110011001001010101010,0,-1,correcta,1,0.53,0.108
hamming,KGLKSA,100110001100111001100000111110011000111100100110001100110100101100001110011001101001,100110001100011001100000111110011000111100100110001100110100101100001110011001101001,1,12,correcta,1,0.36,0.134
hamming,HAFPESRAF,100110011100001001100110100110011001100110010010100000001001100010010101001011000011010010101010101001100110100110011001100110,100110011100001001100110100110011001100110010010100000001001100010010101001011000011010010101010101001100110100110011001100110,0,-1,correcta,1,0.99,0.137
hamming,GLQR,10011000001111100110001111000100101110100101001010101010,10011000001111100110001111000100101110100101001010101010,0,-1,correcta,1,0.39,0.009
hamming,YTABB,0100101001100101001011001100100110011010011001100010101010011000101010,0100101001100101001011001100100110011010011001100010101010011000101010,0,-1,correcta,1,0.35,0.013
hamming,CUWZQMS,10011001000011010010101001010100101000111101001011011010010010111010011001100101010101001011000011,10011001000011010010101001010100101000111101001011011010010010111010011001100101010101001011000011,0,-1,correcta,1,0.4,0.074
hamming,BOYGEFRHJ,100110001010101001100111111101001010011001100110000011111001100010010110011001100110010010101010101001100111000010011001011010,100110001010101001100111111101001010011001100110000011111001100010010110011001100110010010101010101001100111000010011001011010,0,-1,correcta,1,0.31,0.079
hamming,IUSGICHRCI,10011000011001010010101001010100101100001110011000001111100110000110011001100100001110011001110000010010101010101001100100001110011000011001,10011000011001010010101001010100101100001110011000001111100010000110011001100100001110011001110000010010101010101001100100001110011000011001,1,59,correcta,1,0.35,0.051
hamming,UMMRUC,010010101001011001100101010110011001010101010010101010100100101010010110011001000011,010010101001011001100101010110011001010101010010101010100100101010010110011001000011,0,-1,correcta,1,0.32,0.053
hamming,FUPBG,1001100110011001001010100101010010100000001001100010101010011000001111,1001100110011001001010100101010010100000001001100010101010011000001111,0,-1,correcta,1,0.36,0.133
hamming,TLZ,010010110011001001100011110001001011011010,010010110011001001100011110001001011011010,0,-1,correcta,1,0.36,0.09
hamming,ZZLGEV,010010110110100100101101101010011000111100100110000011111001100010010101001011100110,010010110110100100101101101010011000111100100110000011111001100010010101001011100110,0,-1,correcta,1,0.39,0.188
hamming,QSDPWBGCY,010010111010010100101100001110011001001100010010100000000100101000111110011000101010100110000011111001100100001101001010011001,010010111010010100101100001110011001001100010010100000000100101000111110011000101010100110000011111001100100001101001010011001,0,-1,correcta,1,0.33,0.013
hamming,WCUIVXMQD,010010100011111001100100001101001010100101100110000110010100101110011001001011110000100110010101010100101110100110011001001100,010010100011111001100100001101001010100101100110000110010100101110011001001011110000100110010101010100101110100110011001001100,0,-1,correcta,1,0.36,0.17
hamming,RGQWWY,010010101010101001100000111101001011101001010010100011110100101000111101001010011001,010010101010101001100000111101001011101001010010100011110100101000111101001010011001,0,-1,correcta,1,0.46,0.122
hamming,QXDR,01001011101001010010111100001001100100110001001010101010,01001011101001010010111100001001100100110001001010101010,0,-1,correcta,1,0.37,0.105
hamming,QLHJSRAWD,010010111010011001100011110010011001110000100110010110100100101100001101001010101010100110011010010100101000111110011001001100,010010111010001001100011110010011001110000100110010110100100101100001101001010101010100110011010010100101000111110011001001100,1,13,correcta,0,0.36,0.109
hamming,LBPPU,1001100011110010011000101010010010100000000100101000000001001010100101,1001100011110010011000101010010010100000000100101000000001001010100101,0,-1,correcta,1,0.29,0.179
hamming,RQJM,01001010101010010010111010011001100101101010011001010101,01001010101010110010111010011001100101101010011001010101,1,14,correcta,0,0.31,0.196
hamming,VLGMB,0100101110011010011000111100100110000011111001100101010110011000101010,0100101110011010011000111100100110000011111001100101010110011000101010,0,-1,correcta,1,0.35,0.077
hamming,SBDGEPEJ,0100101100001110011000101010100110010011001001100000111110011000100101010010100000001001100010010110011001011010,0100101100001110011000101010100110010011001001100000111110011000100101010010100000001001100010010110011001011010,0,-1,correcta,1,0.34,0.172
hamming,HAN,100110011100001001100110100110011000010110,100110011100001001100110100110011000010110,0,-1,correcta,1,0.35,0.091
hamming,GAEPY,1001100000111110011001101001100110001001010100101000000001001010011001,1001100000111110011001101001100110001001010100101000000001001010011001,0,-1,correcta,1,0.45,0.177
hamming,FDWRISJD,1001100110011010011001001100010010100011110100101010101010011000011001010010110000111001100101101010011001001100,1001100110011010011001001100010010100011110100101010101010011000011001010010110000111001100111101010011001001100,1,92,correcta,0,0.3,0.09
hamming,SVNAYWIRY,010010110000110100101110011010011000010110100110011010010100101001100101001010001111100110000110010100101010101001001010011001,010010110000110100101110011010011000010110100110011010010100101001100101001010001111100110000110010100101010101001001010011001,0,-1,correcta,1,0.33,0.186
hamming,ZZU,010010110110100100101101101001001010100101,010010110110100100101101101001001010100101,0,-1,correcta,1,0.3,0.093
hamming,IPE,100110000110010100101000000010011000100101,100110000110010100101000000010011000100101,0,-1,correcta,1,0.34,0.078
hamming,XDCVF,0100101111000010011001001100100110010000110100101110011010011001100110,0100101111000010011001001100100110010000110100101110011010011001100110,0,-1,correcta,1,0.47,0.038
hamming,TCBE,01001011001100100110010000111001100010101010011000100101,01001011001100100110010000111001100010101010011000100101,0,-1,correcta,1,0.33,0.007
hamming,PAAMJYBLLS,01001010000000100110011010011001100110100110011001010101100110010110100100101001100110011000101010100110001111001001100011110001001011000011,01001010000000100110011010011001100110100110011001010101100110010110100100101001100110011001101010100110001111001001100011110001001011000011,1,91,correcta,1,0.32,0.105
hamming,QCVBJULXSS,01001011101001100110010000110100101110011010011000101010100110010110100100101010010110011000111100010010111100000100101100001101001011000011,01001011101001100110010000110100101110011010011000101010100110010110100100101010010110011000111100010010111100000100101100001101001011000011,0,-1,correcta,1,0.35,0.176
hamming,VLRNDHJU,0100101110011010011000111100010010101010101001100001011010011001001100100110011100001001100101101001001010100101,0100101110011010011000111100010010101010101001100001011010011001001100100110011100001001100101101001001010100101,0,-1,correcta,1,0.39,0.192
hamming,AIFLMYTAZC,10011001101001100110000110011001100110011010011000111100100110010101010100101001100101001011001100100110011010010100101101101010011001000011,10010001101001100110000110011001100110011010011000111100100110010101010100101001100101001011001100100110011010010100101101101010011001000011,1,4,correcta,1,0.35,0.199
hamming,FCXCMPRCUC,10011001100110100110010000110100101111000010011001000011100110010101010100101000000001001010101010100110010000110100101010010110011001000011,10011000100110100110010000110100101111000010011001000011100110010101010100101000000001001010101010100110010000110100101010010110011001000011,1,7,correcta,1,0.38,0.189
hamming,IXVITQVNUO,10011000011001010010111100000100101110011010011000011001010010110011000100101110100101001011100110100110000101100100101010010110011001111111,10011000011001010010111100000100101110011010011000011001010010110011000100101110100101001011100110100110000101100100101010010110011001111111,0,-1,correcta,1,0.36,0.046
hamming,TYRNUDYD,0100101100110001001010011001010010101010101001100001011001001010100101100110010011000100101001100110011001001100,0100101100110001001010011001010010101010101001100001011001001010100101100110010011000100101001100110011001001100,0,-1,correcta,1,0.32,0.061
hamming,XICY,01001011110000100110000110011001100100001101001010011001,01001011110000100110000110011001100100001101001010011001,0,-1,correcta,1,0.4,0.12
hamming,PQABYSWG,0100101000000001001011101001100110011010011001100010101001001010011001010010110000110100101000111110011000001111,0100101000000001001011101001100110011010011001100010101001001010011001010010110000110100101000111110011000001111,0,-1,correcta,1,0.32,0.166
hamming,NOT,100110000101101001100111111101001011001100,100110000101101001100111111101001011001100,0,-1,correcta,1,0.28,0.163
hamming,GWM,100110000011110100101000111110011001010101,100110000011110100101000111110011001010101,0,-1,correcta,1,0.45,0.031
hamming,PYLPUDGJBE,01001010000000010010100110011001100011110001001010000000010010101001011001100100110010011000001111100110010110101001100010101010011000100101,01001010000000010010100110011001100011110001001010000000010010101001011001100100110010011000001111100110010110101001100010101010011000100101,0,-1,correcta,1,0.33,0.11
hamming,ELFJCJCXP,100110001001011001100011110010011001100110100110010110101001100100001110011001011010100110010000110100101111000001001010000000,100110001001011001100011110010011001100110100110010110101001100100001110011001011010100110010000110100101111000001001010000000,0,-1,correcta,1,0.33,0.189
hamming,IOZPIE,100110000110011001100111111101001011011010010010100000001001100001100110011000100101,100110000110011001100111111101001011011010010010100000001001100001100110011000100101,0,-1,correcta,1,0.48,0.019
hamming,DGKSDKIJ,1001100100110010011000001111100110001100110100101100001110011001001100100110001100111001100001100110011001011010,1001100100110010011000001111100110001100110100101100001110011001001100100110001100111001100001100110011001011010,0,-1,correcta,1,0.32,0.023
hamming,NXWVGICNE,100110000101100100101111000001001010001111010010111001101001100000111110011000011001100110010000111001100001011010011000100101,100110000101100100101111000001001010001111010010111001101001100000111110011000011001100110010000111001100001011010011000100101,0,-1,correcta,1,0.54,0.113
hamming,IWKMNIXUI,100110000110010100101000111110011000110011100110010101011001100001011010011000011001010010111100000100101010010110011000011001,100110000110010100101000111110011000110011100110010101011001100001011010011000011001010010111100000100101010010110011000011001,0,-1,correcta,1,0.35,0.162
hamming,LIH,100110001111001001100001100110011001110000,100110001111001001100001100110011001110000,0,-1,correcta,1,0.31,0.036
hamming,HBEG,10011001110000100110001010101001100010010110011000001111,10011001110000100110001010101001100010010110011000001111,0,-1,correcta,1,0.37,0.13
hamming,NSPXSAY,10011000010110010010110000110100101000000001001011110000010010110000111001100110100101001010011001,10011000010110010010110000110100101000000001001011110000010010110000111001100110100101001010011001,0,-1,correcta,1,0.33,0.051
hamming,KBHMKTSVW,100110001100111001100010101010011001110000100110010101011001100011001101001011001100010010110000110100101110011001001010001111,100110001100111001100010101010011001110000100110010101011001100011001101001011001100010010110000110100101110011001001010001111,0,-1,correcta,1,0.47,0.119
hamming,MEF,100110010101011001100010010110011001100110,100110010101011001100010010110011001100110,0,-1,correcta,1,0.34,0.115
hamming,JNDDYMDXD,100110010110101001100001011010011001001100100110010011000100101001100110011001010101100110010011000100101111000010011001001100,100110010110101001100001011010011001001100100110010011000100101011100110011001010101100110010011000100101111000010011001001100,1,64,correcta,1,0.31,0.166
hamming,ZTZTNAKS,0100101101101001001011001100010010110110100100101100110010011000010110100110011010011001100011001101001011000011,0100101101101001001011001100010010110110100100101100110010011000010100100110011010011001100011001101001011000011,1,68,correcta,0,0.33,0.197
hamming,UOOGPUUC,0100101010010110011001111111100110011111111001100000111101001010000000010010101001010100101010010110011001000011,0100101010010110011001111111100110011111111001100000111101001010000000010010101001010100101010010110011001000011,0,-1,correcta,1,0.32,0.192
hamming,XJYKZM,010010111100001001100101101001001010011001100110001100110100101101101010011001010101,010010111100001001100101101001001010011001100110001100110100101101101010011001010101,0,-1,correcta,1,0.32,0.124
hamming,RFMVREKB,0100101010101010011001100110100110010101010100101110011001001010101010100110001001011001100011001110011000101010,0100101010101010011001100110100110010101010100101110011001001010101010100110001001011001100011001110011000101010,0,-1,correcta,1,0.36,0.02
hamming,PBAWE,0100101000000010011000101010100110011010010100101000111110011000100101,0100101000000010011000101010100110011010010100101000111110011000100101,0,-1,correcta,1,1.65,0.078
hamming,RJJ,010010101010101001100101101010011001011010,010010101010101001100101101010011001011010,0,-1,correcta,1,0.44,0.183
hamming,MTDD,10011001010101010010110011001001100100110010011001001100,10011001010101010010110011001001100100110010011001001100,0,-1,correcta,1,0.37,0.061
hamming,BMPMEO,100110001010101001100101010101001010000000100110010101011001100010010110011001111111,100110001010101001100101010101001010000000100110010101011001100010010110011001111111,0,-1,correcta,1,0.38,0.088
hamming,CFXVN,1001100100001110011001100110010010111100000100101110011010011000010110,1001100100001110011001100110010010111100000100101110011010011000010110,0,-1,correcta,1,0.39,0.122
hamming,UZPIWMK,01001010100101010010110110100100101000000010011000011001010010100011111001100101010110011000110011,01001010100101010010110110100100101000000010011000011001010010100011111001100101010110011000110011,0,-1,correcta,1,0.37,0.032
hamming,SODFX,0100101100001110011001111111100110010011001001100110011001001011110000,0100101100001110011001111111100110010011001001100110011001001011110000,0,-1,correcta,1,0.36,0.09
hamming,FNXNU,1001100110011010011000010110010010111100001001100001011001001010100101,1001100110011010011000010110010010111100001001100001011001001010100101,0,-1,correcta,1,0.37,0.064
hamming,PRIERDLO,0100101000000001001010101010100110000110011001100010010101001010101010100110010011001001100011110010011001111111,0100101000000001001010101010100110000110011001100010010101001010101010100110010011001001100011110010011001111111,0,-1,correcta,1,0.42,0.074
hamming,OYQKP,1001100111111101001010011001010010111010011001100011001101001010000000,1001100111111101001010011001010010111010011001100011001101001010000000,0,-1,correcta,1,0.35,0.06
hamming,CRSZJHNO,1001100100001101001010101010010010110000110100101101101010011001011010100110011100001001100001011010011001111111,1001100100001101001010101010010010110000110100101101101010011001011010100110011100001001100001011010011001111111,0,-1,correcta,1,0.37,0.115
hamming,ERMQR,1001100010010101001010101010100110010101010100101110100101001010101010,1001100010010101001010101010100110010101010100101110100101001010101010,0,-1,correcta,1,0.35,0.035
hamming,PHBB,01001010000000100110011100001001100010101010011000101010,01001010000000100110011100001001100010101010011000101010,0,-1,correcta,1,0.31,0.018
hamming,MGRLXOMUT,100110010101011001100000111101001010101010100110001111000100101111000010011001111111100110010101010100101010010101001011001100,100110010101011001100000111101001010101010100110001111000100101111000010011001111111100110010101010100101010010101001011001100,0,-1,correcta,1,0.33,0.172
hamming,XUWLXUYD,0100101111000001001010100101010010100011111001100011110001001011110000010010101001010100101001100110011001001100,0100101111000001001010100101010010100011111001100011110001001011110000010010101001010100101001100110011001001100,0,-1,correcta,1,0.34,0.197
hamming,GAZIBCZWM,100110000011111001100110100101001011011010100110000110011001100010101010011001000011010010110110100100101000111110011001010101,100110000011111001100110100101001011011010100110000110011001100010101010011001000011010010110110100100101000111110011001010101,0,-1,correcta,1,0.31,0.128
hamming,XGPAPXIDQL,01001011110000100110000011110100101000000010011001101001010010100000000100101111000010011000011001100110010011000100101110100110011000111100,01001011110000100110000011110100101000000010011001101001010010100000000100101111000010011000011001100110010011000100101110100110011000111100,0,-1,correcta,1,0.34,0.175
hamming,XMSPPEVANM,01001011110000100110010101010100101100001101001010000000010010100000001001100010010101001011100110100110011010011001100001011010011001010101,01001011110000100110010101010100101100001101001010000000010010100000001001100010010101001011100110100110011010011001100001011010011001010101,0,-1,correcta,1,0.34,0.198
hamming,QGG,010010111010011001100000111110011000001111,010010111010011001100000111110011000001111,0,-1,correcta,1,0.35,0.015
hamming,XZD,010010111100000100101101101010011001001100,010010111100000100101101101010011001001100,0,-1,correcta,1,0.29,0.005
hamming,RBWI,01001010101010100110001010100100101000111110011000011001,01001010101010100110001010100100101000111110011000011001,0,-1,correcta,1,0.31,0.195
hamming,XKQNJADZL,010010111100001001100011001101001011101001100110000101101001100101101010011001101001100110010011000100101101101010011000111100,010010111100001001100011001101001011101001100110000101101001100101101010011001101001100110010011000100101101101010011000111100,0,-1,correcta,1,0.29,0.078
hamming,FUU,100110011001100100101010010101001010100101,100110011001100100101010010101001010100101,0,-1,correcta,1,0.37,0.09
hamming,ADT,100110011010011001100100110001001011001100,100110011010011001100100110001001011001100,0,-1,correcta,1,0.38,0.034
hamming,CGHYRKDJQ,100110010000111001100000111110011001110000010010100110010100101010101010011000110011100110010011001001100101101001001011101001,100110010000111001100000111110011001110000010010100110010100101010101010011000110011100110010011001001100101101001001011101001,0,-1,correcta,1,0.34,0.065
hamming,VCQIXTWZVH,01001011100110100110010000110100101110100110011000011001010010111100000100101100110001001010001111010010110110100100101110011010011001110000,01001011100110100110010000110100101110100110011000011001010010111100000100101100110001001010001111010010110110100100101110011010011001110000,0,-1,correcta,1,0.34,0.049
hamming,PLWGEZJV,0100101000000010011000111100010010100011111001100000111110011000100101010010110110101001100101101001001011100110,0100101000000010011000111100010010100011111001100000111110011000100101010010110110101001100101101001001011100110,0,-1,correcta,1,0.37,0.054
hamming,QUENDK,010010111010010100101010010110011000100101100110000101101001100100110010011000110011,010010111010010100101010010110011000100101100110000101101001100100110010011000110011,0,-1,correcta,1,0.36,0.052
hamming,AJFIQN,100110011010011001100101101010011001100110100110000110010100101110100110011000010110,100110011010011001100101101010011001100110100110000110010100101110100110011000010110,0,-1,correcta,1,0.33,0.063
hamming,QIMK,01001011101001100110000110011001100101010110011000110011,01001011101001100110000110011001100101010110011000110011,0,-1,correcta,1,0.3,0.126
hamming,BMUEO,1001100010101010011001010101010010101001011001100010010110011001111111,1001100010101010011001010101010010101001011001100010010110011001111111,0,-1,correcta,1,0.68,0.137
hamming,HFM,100110011100001001100110011010011001010101,100110011100001001100110011010011001010101,0,-1,correcta,1,0.33,0.165
hamming,OEIHPKU,10011001111111100110001001011001100001100110011001110000010010100000001001100011001101001010100101,10011001111111100110001001011001100001100110011001110000010010100000001001100011001101001010100101,0,-1,correcta,1,0.32,0.152
hamming,LCQYQ,1001100011110010011001000011010010111010010100101001100101001011101001,1001100011110010011001000011010010111010010100101001100101001011101001,0,-1,correcta,1,0.3,0.195
hamming,CSXBY,1001100100001101001011000011010010111100001001100010101001001010011001,1001100100001101001011000011010010111100001001100010101001001010011001,0,-1,correcta,1,0.27,0.12
hamming,PXJULJ,010010100000000100101111000010011001011010010010101001011001100011110010011001011010,010010100000000100101111000010011001011010010010101001011001100011110010011001011010,0,-1,correcta,1,0.28,0.02
hamming,WMNYV,0100101000111110011001010101100110000101100100101001100101001011100110,0100101000111110011001010101100110000101100100101001100101001011100110,0,-1,correcta,1,0.24,0.069
hamming,TUNWGSE,01001011001100010010101001011001100001011001001010001111100110000011110100101100001110011000100101,01001011001100010010101001011001100001011001001010001111100110000011110100101100001110011000100101,0,-1,correcta,1,0.33,0.065
hamming,LODIMOYPYZ,10011000111100100110011111111001100100110010011000011001100110010101011001100111111101001010011001010010100000000100101001100101001011011010,10011000111100100110011111111001100100110010011000011001100110010101011001100111111101001010011001010010100000000100101001100101001011011010,0,-1,correcta,1,0.33,0.158
hamming,XGFSI,0100101111000010011000001111100110011001100100101100001110011000011001,0100101111000010011000001111100110011001100100101100001110011000011001,0,-1,correcta,1,0.25,0.107
hamming,XBQIDE,010010111100001001100010101001001011101001100110000110011001100100110010011000100101,010010111100001001100010101001001011101001100110000110011001100100110010011000100101,0,-1,correcta,1,0.31,0.081
hamming,PPEMNG,010010100000000100101000000010011000100101100110010101011001100001011010011000001111,010010100000000100101000000010011000100101100110010101011001100001011010011000001111,0,-1,correcta,1,0.31,0.152
hamming,XXIKLFWX,0100101111000001001011110000100110000110011001100011001110011000111100100110011001100100101000111101001011110000,0100101111000001001011110000100110000110011001100011001110011000111100100110011001100100101000111101001011110000,0,-1,correcta,1,0.29,0.049
hamming,TRBFQJJFXR,01001011001100010010101010101001100010101010011001100110010010111010011001100101101010011001011010100110011001100100101111000001001010101010,01001011001100010010101010101001100010101010011001100110010010111010011001100101101010011001011010100110011001100100101111000001001010101010,0,-1,correcta,1,0.32,0.132
hamming,YBDUEJ,010010100110011001100010101010011001001100010010101001011001100010010110011001011010,010010100110011001100010101010011001001100010010101001011001100010010110011001011010,0,-1,correcta,1,0.34,0.166
hamming,EBOSN,1001100010010110011000101010100110011111110100101100001110011000010110,1001100010010110011000101010100110010111110100101100001110011000010110,1,36,correcta,1,0.31,0.164
hamming,OCHHNMNR,1001100111111110011001000011100110011100001001100111000010011000010110100110010101011001100001011001001010101010,1001100111111110011001000011100110011100001001100111000010011000010110100110010101011001100001011001001010101010,0,-1,correcta,1,0.35,0.109
hamming,CTJXNSO,10011001000011010010110011001001100101101001001011110000100110000101100100101100001110011001111111,10011001000011010010110011001001100101101001001011110000100110000101100100101100001110011001111111,0,-1,correcta,1,0.31,0.097
hamming,RUQVW,0100101010101001001010100101010010111010010100101110011001001010001111,0100101010101001001010100101010010111010010100101110011001001010001111,0,-1,correcta,1,0.35,0.166
hamming,VSAN,01001011100110010010110000111001100110100110011000010110,01001011100110010010110000111001100110100110011000010110,0,-1,correcta,1,0.4,0.052
hamming,KNSAURVAFQ,10011000110011100110000101100100101100001110011001101001010010101001010100101010101001001011100110100110011010011001100110011001001011101001,10011000110011100110000101100100101100001110011001101001010010101001010100101010101001001011100110100110011010011001100110011001001011101001,0,-1,correcta,1,0.31,0.074
hamming,RJGRX,0100101010101010011001011010100110000011110100101010101001001011110000,0100101010101010011001011010100110000011110100101010101001001011110000,0,-1,correcta,1,0.29,0.069
hamming,OLHDTLONRA,10011001111111100110001111001001100111000010011001001100010010110011001001100011110010011001111111100110000101100100101010101010011001101001,10011001111111100110001111001001100111000010011001001100010010110011001001100011110010011001111111100110000101100100101011101010011001101001,1,121,correcta,1,0.35,0.132
hamming,WIYDECDEYG,01001010001111100110000110010100101001100110011001001100100110001001011001100100001110011001001100100110001001010100101001100110011000001111,01001010001111100110000110010100101001100110011001001100100110001001011001100100001110011001001100100110001001010100101001100110011000001111,0,-1,correcta,1,0.3,0.013
hamming,XXZIUBPTW,010010111100000100101111000001001011011010100110000110010100101010010110011000101010010010100000000100101100110001001010001111,010010111100000100101111000001001011011010100110000110010100101010010110011000101010010010100000000100101100110001001010001111,0,-1,correcta,1,0.33,0.033
hamming,ZQADRDMBNK,01001011011010010010111010011001100110100110011001001100010010101010101001100100110010011001010101100110001010101001100001011010011000110011,01001011011010010010111011011001100110100110011001001100010010101010101001100100110010011001010101100110001010101001100001011010011000110011,1,25,correcta,0,0.32,0.181
hamming,MKDFTQRFK,100110010101011001100011001110011001001100100110011001100100101100110001001011101001010010101010101001100110011010011000110011,100110010101011001100011001110011001001100100110011001100100101100110001001011101001010010101010101001100110011010011000110011,0,-1,correcta,1,0.35,0.024
hamming,HDWMR,1001100111000010011001001100010010100011111001100101010101001010101010,1001100111000010011001001100010010100011111001100101010101001010101010,0,-1,correcta,1,0.34,0.017
hamming,FWGDCQSO,1001100110011001001010001111100110000011111001100100110010011001000011010010111010010100101100001110011001111111,1001100110011001001010001111100110000011111001100100110010011001000011010010111010010100101100001110011001111111,0,-1,correcta,1,0.31,0.177
hamming,KKMHZHG,10011000110011100110001100111001100101010110011001110000010010110110101001100111000010011000001111,10011000110011100110001100111001100101010110011001110000010010110110101001100111010010011000001111,1,81,correcta,0,0.31,0.135
hamming,SFYGO,0100101100001110011001100110010010100110011001100000111110011001111111,0100101100001110011001100110011010100110011001100000111110011001111111,1,30,correcta,0,0.36,0.012
hamming,CCBBGFHA,1001100100001110011001000011100110001010101001100010101010011000001111100110011001101001100111000010011001101001,1001100100001110011001000011100110001010101001100010101010011000001111100110011001101001100111000010011001101001,0,-1,correcta,1,0.32,0.154
hamming,AECT,10011001101001100110001001011001100100001101001011001100,10011001101001100110001001011001100100001101001011001100,0,-1,correcta,1,0.39,0.124
hamming,WIWOLSB,01001010001111100110000110010100101000111110011001111111100110001111000100101100001110011000101010,01001010001111100110000110010100101000111110011001111111100110001111000100101100001110011000101010,0,-1,correcta,1,0.47,0.149
hamming,NZXFPIDVOR,10011000010110010010110110100100101111000010011001100110010010100000001001100001100110011001001100010010111001101001100111111101001010101010,10011000010110010010110110100100101111000010011001100110010010100000001001100001100110011001001100010010111001101001100111111101001010101010,0,-1,correcta,1,0.48,0.031
hamming,ZSHBDVXG,0100101101101001001011000011100110011100001001100010101010011001001100010010111001100100101111000010011000001111,0100101101101001001011000011100110011100001001100010101010011001001100010010111001100100101111000010011000001111,0,-1,correcta,1,0.39,0.123
hamming,OERN,10011001111111100110001001010100101010101010011000010110,10011001111111100110001001010100101010101010011000010110,0,-1,correcta,1,0.67,0.129
hamming,SEIN,01001011000011100110001001011001100001100110011000010110,01001011000011100110001001011001100001100110011000010110,0,-1,correcta,1,0.32,0.168
hamming,HOK,100110011100001001100111111110011000110011,100110011100001001100111111110011000110011,0,-1,correcta,1,0.38,0.047
